"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"86",86,99.8208,27.6933647058824,0.951009874929642,0.0179707609355926,0.6578,0.4624,0.5584,1,1,1
"87",87,99.9644,29.2700406562625,0.917527149968174,0.017961046687353,0.6522,0.4616,0.5694,1,1,1
"88",88,100.1252,29.2604291316527,0.92259673804256,0.0176015537126923,0.66,0.4606,0.5534,1,1,1
"89",89,99.9032,27.7505299719888,0.922946868825612,0.018564310528513,0.6608,0.4784,0.566,1,1,1
"90",90,99.8968,27.9837432573029,0.915622467731737,0.0184773274907025,0.6544,0.4724,0.57,1,1,1
"91",91,99.7976,28.6224832332933,0.916911139245835,0.0187256781837202,0.6542,0.4598,0.5606,1,1,1
"92",92,99.7796,29.049843777511,0.910537233464621,0.0186077492847109,0.6496,0.4554,0.5672,1,1,1
"93",93,99.854,29.3580272108844,0.907911360770584,0.0190608026308541,0.6444,0.4586,0.5654,1,1,1
"94",94,99.8444,28.4291603041216,0.93050224051494,0.0193085403469281,0.6414,0.4544,0.5668,1,1,1
"95",95,99.7612,28.0049765506202,0.924059418445213,0.0192270841524104,0.6498,0.4444,0.5734,1,1,1
"96",96,100.03,29.1767707082833,0.91036149370309,0.0195677989866858,0.6628,0.4424,0.5802,1,1,1
"97",97,99.8564,28.7072619447779,0.913981523325808,0.0198162066145814,0.6618,0.4508,0.5704,1,1,1
"98",98,100.0448,28.6758633053221,0.924539131073927,0.0201458897724011,0.6576,0.4548,0.5582,1,1,1
"99",99,100.1268,29.2376168067227,0.924118940089847,0.0200951828154529,0.6476,0.4592,0.5734,1,1,1
"100",100,99.9012,29.0766692276911,0.940506441908536,0.0203036620578617,0.664,0.4684,0.5698,1,1,1
"101",101,99.9696,28.7561783113245,0.924589872153521,0.0204832487167233,0.6528,0.4812,0.5698,1,1,1
"102",102,100.0224,29.0439158063225,0.923147992571738,0.0209927059036331,0.6412,0.4752,0.5528,1,1,1
"103",103,100.038,29.5267667066827,0.904208158060612,0.0210204487665403,0.6384,0.4762,0.5528,1,1,1
"104",104,100.0516,29.3654836334534,0.906805391116151,0.020829810610815,0.629,0.4898,0.5544,1,1,1
"105",105,99.9444,27.7700166466587,0.921859873234555,0.0223739676136901,0.6202,0.5066,0.5602,1,1,1
"106",106,99.9868,27.5904619447779,0.915591646459284,0.0214507886217972,0.6116,0.5092,0.5658,1,1,1
"107",107,99.9296,27.0266545018007,0.935894447337759,0.021906476070368,0.616,0.5164,0.5768,1,1,1
"108",108,99.8756,27.7528257703081,0.902426467167183,0.0219488138988576,0.6188,0.509,0.5784,1,1,1
"109",109,100.0052,27.3521138055222,0.926997162743526,0.0220591460600282,0.6122,0.5158,0.5788,1,1,1
"110",110,99.9908,27.4833086834734,0.920406417466227,0.0220411324447202,0.614,0.5224,0.5746,1,1,1
"111",111,99.9808,28.1700993997599,0.911387163476375,0.0222696970396579,0.6274,0.5168,0.5774,1,1,1
"112",112,99.9756,28.5024056022409,0.915537563156987,0.0226480721117099,0.6274,0.5208,0.585,1,1,1
"113",113,99.9412,29.6023835134054,0.931301753055791,0.0224548459536257,0.629,0.522,0.6026,1,1,1
"114",114,100.0932,30.8840673869548,0.926285945195937,0.0241027865596172,0.6212,0.5302,0.5822,1,1,1
"115",115,100.3328,31.0176512204882,0.925882081491082,0.0246184394599907,0.6302,0.541,0.5816,1,1,1
"116",116,100.302,30.4541776710684,0.917521439789953,0.0233552807712518,0.6354,0.537,0.581,1,1,1
"117",117,100.3252,31.5824779511805,0.908246462291147,0.0241258790353784,0.642,0.5364,0.578,1,1,1
"118",118,100.2988,31.6125635854342,0.91438159706447,0.0236918439833243,0.6424,0.5392,0.5824,1,1,1
"119",119,100.1412,31.0840961984794,0.925587724328067,0.024227733225429,0.6366,0.5358,0.5768,1,1,1
"120",120,99.912,29.9970548219288,0.928919664515551,0.0244077614838622,0.6302,0.5348,0.5764,1,1,1
"121",121,99.8392,29.4019041216487,0.935503318347883,0.024223138706304,0.6294,0.5238,0.5736,1,1,1
"122",122,99.8304,29.6655020408163,0.904514513657695,0.024564273370265,0.6314,0.5206,0.5826,1,1,1
"123",123,99.6644,29.3195004401761,0.921244193192294,0.0247216407088155,0.6254,0.5204,0.5818,1,1,1
"124",124,99.6964,30.2731362945178,0.910637296069777,0.0249693410252402,0.622,0.5274,0.5808,1,1,1
"125",125,99.6328,30.5525851940776,0.915951881040046,0.0248544368940513,0.6242,0.513,0.5816,1,1,1
"126",126,99.4332,29.71822505002,0.932433677412008,0.0256846953693379,0.6312,0.5214,0.5882,1,1,1
"127",127,99.372,30.757118847539,0.91142913198765,0.0255486781645559,0.6228,0.512,0.5892,1,1,1
"128",128,99.3976,29.7834276110444,0.917692769664107,0.0261988475453128,0.6188,0.504,0.589,1,1,1
"129",129,99.228,29.3925730292117,0.913181422871305,0.0267339053506342,0.6046,0.5018,0.5926,1,1,1
"130",130,99.1728,28.0101442176871,0.927010425811775,0.0264817269506959,0.6102,0.4854,0.596,1,1,1
"131",131,98.9252,28.612650020008,0.939159872374832,0.0262051935950118,0.608,0.49,0.5984,1,1,1
"132",132,98.7524,28.9314668267307,0.908108438504442,0.0270828003375474,0.6066,0.4982,0.5958,1,1,1
"133",133,98.564,28.5917406962785,0.922994151496779,0.026196702092061,0.609,0.4942,0.599,1,1,1
"134",134,98.4628,28.5240257703081,0.925061467947738,0.0281436766425276,0.6138,0.487,0.5946,1,1,1
"135",135,98.37,28.5949379751901,0.902739530148512,0.0273607655980603,0.6158,0.4848,0.5866,1,1,1
"136",136,98.37,28.1331532613045,0.893252737546183,0.0274715330647733,0.6206,0.4956,0.5944,1,1,1
"137",137,98.338,26.89131252501,0.918567571295772,0.0270507318701008,0.6294,0.4858,0.6002,1,1,1
"138",138,98.4944,27.1608329731893,0.907130659580755,0.0278649209943459,0.6208,0.495,0.596,1,1,1
"139",139,98.2132,26.5439633453381,0.906924600375011,0.0275987158820644,0.628,0.4934,0.5956,1,1,1
"140",140,98.3456,27.2050426570628,0.914844306810714,0.0280390073245851,0.6304,0.4934,0.5976,1,1,1
"141",141,98.4072,27.0938256902761,0.925851065320556,0.0279738738196276,0.6192,0.497,0.5942,1,1,1
"142",142,98.2864,28.2244648259304,0.917073364600654,0.0286537896950644,0.619,0.5034,0.5782,1,1,1
"143",143,98.24,28.4609843937575,0.930122602778246,0.0287352522146092,0.6082,0.518,0.582,1,1,1
"144",144,98.1188,27.6933639055622,0.931860016118553,0.0286938985229512,0.6068,0.5168,0.5742,1,1,1
"145",145,98.3136,28.4274260104042,0.919894614618539,0.0292823995699789,0.6026,0.5288,0.5828,1,1,1
"146",146,98.3568,30.0255039615846,0.888120551814092,0.0293113200905726,0.607,0.5308,0.5782,1,1,1
"147",147,98.3576,28.6147681472589,0.92559107707343,0.0301080526644951,0.6004,0.5314,0.584,1,1,1
"148",148,98.226,28.0781552621048,0.906340778918274,0.0295623824159014,0.6,0.5372,0.584,1,1,1
"149",149,98.2992,28.161744057623,0.920274772898219,0.0296144517880566,0.5908,0.5402,0.5844,1,1,1
"150",150,98.2416,28.5186368947579,0.904116504700921,0.0303595022348264,0.5834,0.5322,0.5896,1,1,1
"151",151,98.1552,28.545731252501,0.898719439852951,0.0298132235256246,0.586,0.532,0.5952,1,1,1
"152",152,98.1752,28.8608492997199,0.907075440336709,0.0299851843915578,0.5914,0.5338,0.5952,1,1,1
"153",153,98.0776,28.3253083633453,0.919028839375134,0.0306401976596697,0.5764,0.527,0.5888,1,1,1
"154",154,98.0892,28.297362304922,0.906431112817187,0.0314576061201119,0.5756,0.5268,0.585,1,1,1
"155",155,98.0796,27.7123487795118,0.920112843486783,0.0314612619269075,0.5758,0.5262,0.5846,1,1,1
"156",156,98.1888,27.909918527411,0.918220200292697,0.0315838094035866,0.5806,0.526,0.5798,1,1,1
"157",157,98.2604,27.1714604241697,0.91623426715432,0.0311561635227426,0.5702,0.5238,0.5842,1,1,1
"158",158,98.3176,28.2448281712685,0.904941598971649,0.0314241235842264,0.5634,0.5232,0.577,1,1,1
"159",159,98.3048,27.9414735494198,0.926929756496223,0.0320627275842628,0.5602,0.5284,0.5768,1,1,1
"160",160,98.2248,28.6473238895558,0.90576617106662,0.0316844499813906,0.5646,0.5332,0.5742,1,1,1
"161",161,98.3352,28.2149269307723,0.907156497853815,0.0320768728332714,0.5634,0.5384,0.5784,1,1,1
"162",162,98.3312,28.8594503401361,0.907755885354615,0.0321862453077912,0.5738,0.5324,0.586,1,1,1
"163",163,98.2596,28.5620326530612,0.94006040608346,0.0328926592312173,0.5836,0.536,0.587,1,1,1
"164",164,98.1052,27.5755631852741,0.931175865640351,0.0326168146199485,0.593,0.5266,0.582,1,1,1
"165",165,98.1452,28.8804691476591,0.910991952917377,0.0331746063486506,0.5982,0.5184,0.5798,1,1,1
"166",166,98.054,28.3104081632653,0.918328205958893,0.0335970744146853,0.6088,0.51,0.5794,1,1,1
"167",167,98.1648,28.3641866346539,0.886341745980717,0.0335897806226148,0.606,0.5152,0.583,1,1,1
"168",168,98.178,27.9951140456182,0.889698634029633,0.033134443656547,0.6126,0.5002,0.5874,1,1,1
"169",169,98.2008,27.6963579031613,0.903247378320838,0.0333352020880073,0.6088,0.5004,0.593,1,1,1
"170",170,98.1064,27.943056262505,0.902385210959298,0.0346094430424635,0.603,0.4932,0.5996,1,1,1
"171",171,98.0156,26.8933139655862,0.909152670532605,0.0346177872797219,0.598,0.4936,0.601,1,1,1
"172",172,98.0292,26.4141130052021,0.907068517478176,0.0345998318100756,0.5918,0.4854,0.5964,1,1,1
"173",173,97.8556,26.9135140456182,0.898817684526379,0.0345112238252143,0.6022,0.4902,0.6038,1,1,1
"174",174,97.9136,26.8848889955982,0.915699225421471,0.0348621231949041,0.6122,0.4866,0.6024,1,1,1
"175",175,97.9744,26.6788161664666,0.924983709702873,0.0351520482026011,0.613,0.4748,0.5878,1,1,1
"176",176,98.0604,27.7126368947579,0.898425196673025,0.0350787909849107,0.6124,0.4764,0.5986,1,1,1
"177",177,97.9984,27.6534588235294,0.916207974180694,0.0358158462018821,0.6102,0.4834,0.59,1,1,1
"178",178,97.9504,29.0947777511004,0.898696781151949,0.0352187421909951,0.6188,0.4836,0.5868,1,1,1
"179",179,97.958,27.9338095238095,0.918123059728315,0.035131497565031,0.6198,0.4782,0.5824,1,1,1
"180",180,97.8888,27.2769453381353,0.911404850797637,0.0363022928628974,0.6142,0.4826,0.5816,1,1,1
"181",181,97.6832,26.7439353341337,0.922039102831067,0.0369539169816683,0.6034,0.4868,0.5898,1,1,1
"182",182,97.6276,27.2270090436174,0.918510671490969,0.0369378202901253,0.5802,0.4766,0.5858,1,1,1
"183",183,97.5592,26.9788869147659,0.92066064245777,0.036358268690334,0.5862,0.4708,0.5842,1,1,1
"184",184,97.654,27.1931612645058,0.912719157816172,0.0365710367514388,0.5906,0.4714,0.5818,1,1,1
"185",185,97.6044,27.3380358543417,0.917653150634425,0.0373510443512728,0.5942,0.4624,0.5746,1,1,1
"186",186,97.6464,27.4675540616247,0.91551197800437,0.0366442687414349,0.588,0.4584,0.58,1,1,1
"187",187,97.782,28.2881912765106,0.886098020163189,0.037125161610726,0.5944,0.45,0.5846,1,1,1
"188",188,97.5912,27.0132878751501,0.913530226163027,0.0375320212592542,0.594,0.4498,0.5836,1,1,1
"189",189,97.6876,26.6894820328131,0.91586589070711,0.038080510998392,0.5798,0.4498,0.5716,1,1,1
"190",190,97.7536,27.5150930772309,0.921004066165143,0.0376870491533702,0.5876,0.4528,0.5686,1,1,1
"191",191,97.7208,27.0832806722689,0.920235384289985,0.0381291097870856,0.5838,0.458,0.5786,1,1,1
"192",192,97.7552,26.254574789916,0.91158267531352,0.0376724067363416,0.5888,0.4644,0.5802,1,1,1
"193",193,97.66,26.109243697479,0.90909593391267,0.0385436871147321,0.5882,0.469,0.5702,1,1,1
"194",194,97.6632,26.8220945978391,0.903834932428299,0.0383804272648494,0.583,0.48,0.5676,1,1,1
"195",195,97.7704,26.9900798719488,0.920204446761178,0.0384292304381694,0.576,0.4742,0.557,1,1,1
"196",196,97.9116,27.7260758703481,0.92929154935901,0.0396849467265779,0.577,0.4834,0.5618,1,1,1
"197",197,97.8376,28.4754164065626,0.909566761276285,0.0393681479647685,0.5826,0.4782,0.5676,1,1,1
"198",198,97.9536,28.2643527811124,0.928999895934764,0.0387190719104966,0.5858,0.472,0.5682,1,1,1
"199",199,97.8872,27.512681232493,0.922215999215664,0.0397611576269875,0.5922,0.4706,0.5682,1,1,1
"200",200,97.74,26.7871148459384,0.904575408195276,0.0397246279883618,0.5814,0.4588,0.5782,1,1,1
"201",201,97.8212,26.5182378551421,0.92035144162655,0.0400592813852416,0.577,0.4586,0.5848,1,1,1
"202",202,97.9052,27.0390285714286,0.945361940051844,0.0400716228820792,0.5892,0.4616,0.5868,1,1,1
"203",203,97.9784,27.1591971188475,0.933724933651029,0.0402287953782979,0.598,0.4658,0.5948,1,1,1
"204",204,97.8132,27.6981850340136,0.910790837387981,0.0406549986309524,0.6086,0.4766,0.591,1,1,1
"205",205,97.9684,26.9509818327331,0.930785354959098,0.0410396306974375,0.6156,0.4862,0.5962,1,1,1
"206",206,97.8336,27.5209194077631,0.92693188730864,0.0408389313869186,0.6156,0.489,0.6018,1,1,1
"207",207,98.1096,28.2272787515006,0.919233534798688,0.0410314373017845,0.6104,0.5028,0.6008,1,1,1
"208",208,98.074,28.4326970788315,0.917609045940295,0.0410187100379791,0.6164,0.507,0.6042,1,1,1
"209",209,98.04,27.906362545018,0.891422776678425,0.0412639837468327,0.622,0.517,0.595,1,1,1
"210",210,97.9784,26.9110978791517,0.904210674349173,0.0417208707377712,0.6206,0.5144,0.6062,1,1,1
"211",211,98.0236,26.7001230892357,0.91299742012151,0.041549167400224,0.628,0.5204,0.6046,1,1,1
"212",212,97.9736,26.5459214085634,0.912181594591655,0.0419965093366532,0.6148,0.5092,0.6012,1,1,1
"213",213,98.0208,26.3028885154062,0.916646252123567,0.0422451448130927,0.6122,0.5132,0.6,1,1,1
"214",214,97.9264,27.0526040816327,0.905568191408727,0.042364959217389,0.6106,0.519,0.5996,1,1,1
