"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"85",85,99.0352,12.7598649059624,0.812267346482674,0.015228436204336,0.5014,0.4364,0.4776,1,1,1
"86",86,99.0556,12.2077917567027,0.812122235146063,0.0153445780766616,0.499,0.4266,0.4812,1,1,1
"87",87,99.0492,12.1012198479392,0.813418933646936,0.0155495330858059,0.4958,0.4284,0.4846,1,1,1
"88",88,99.0568,12.2240633853541,0.786851552228029,0.0159232292382006,0.4908,0.4342,0.49,1,1,1
"89",89,99.0536,13.0703551820728,0.823158428316362,0.0160436055378007,0.4816,0.4352,0.4892,1,1,1
"90",90,98.946,12.8666306522609,0.797748067019327,0.0161008744120003,0.4808,0.4428,0.4852,1,1,1
"91",91,98.876,11.8741736694678,0.804018338210852,0.0164476349171699,0.4744,0.445,0.5002,1,1,1
"92",92,98.812,12.3736054421769,0.802714215675495,0.016556969737015,0.4802,0.446,0.4976,1,1,1
"93",93,98.7924,12.2854164065626,0.784114432114627,0.0166900381429723,0.4818,0.4478,0.4974,1,1,1
"94",94,98.8524,12.6700822729092,0.792834797475917,0.0169451672857331,0.4808,0.4386,0.5016,1,1,1
"95",95,98.9132,12.335399919968,0.832927498433766,0.0171143647392357,0.476,0.4422,0.5048,1,1,1
"96",96,98.882,12.4226450580232,0.818542857777897,0.0173722220396727,0.4776,0.4446,0.5042,1,1,1
"97",97,98.9708,12.6982266506603,0.799088884129996,0.0173753597140905,0.4774,0.4348,0.5068,1,1,1
"98",98,98.9564,12.3570418567427,0.818619135683355,0.0175765674883245,0.478,0.4512,0.517,1,1,1
"99",99,98.9788,11.4997504601841,0.804057240638699,0.0178086564277766,0.4794,0.457,0.5212,1,1,1
"100",100,99.0204,12.1240334533814,0.805420256748907,0.0180808717515855,0.4782,0.4716,0.5274,1,1,1
"101",101,98.9576,11.5284136054422,0.846170216818993,0.0180480258611402,0.4922,0.4706,0.5234,1,1,1
